Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2024-10-28,8:00 PM,10:00 PM,Calgary Flames,0,Vegas Golden Knights,5,Regulation
2024-10-29,5:00 PM,7:00 PM,Philadelphia Flyers,2,Boston Bruins,0,Regulation
2024-10-29,5:00 PM,7:00 PM,Seattle Kraken,8,Montreal Canadiens,2,Regulation
2024-10-29,5:00 PM,7:00 PM,St. Louis Blues,1,Ottawa Senators,8,Regulation
2024-10-29,5:00 PM,7:00 PM,Anaheim Ducks,3,New York Islanders,1,Regulation
2024-10-29,5:00 PM,7:00 PM,Minnesota Wild,5,Pittsburgh Penguins,3,Regulation
2024-10-29,5:30 PM,7:30 PM,New York Rangers,3,Washington Capitals,5,Regulation
2024-10-29,8:00 PM,10:00 PM,Los Angeles Kings,2,San Jose Sharks,4,Regulation
2024-10-30,5:00 PM,7:00 PM,New York Islanders,0,Columbus Blue Jackets,2,Regulation
2024-10-30,5:30 PM,7:30 PM,Winnipeg Jets,6,Detroit Red Wings,2,Regulation
2024-10-30,7:00 PM,9:00 PM,Tampa Bay Lightning,5,Colorado Avalanche,2,Regulation
2024-10-30,7:30 PM,9:30 PM,Calgary Flames,1,Utah Hockey Club,5,Regulation
2024-10-30,8:00 PM,10:00 PM,Vegas Golden Knights,3,Los Angeles Kings,6,Regulation
2024-10-30,8:30 PM,10:30 PM,New Jersey Devils,6,Vancouver Canucks,0,Regulation
2024-10-31,5:00 PM,7:00 PM,Seattle Kraken,1,Toronto Maple Leafs,4,Regulation
2024-10-31,5:00 PM,7:00 PM,St. Louis Blues,1,Philadelphia Flyers,2,Regulation
2024-10-31,5:00 PM,7:00 PM,Anaheim Ducks,1,Pittsburgh Penguins,2,OT
2024-10-31,5:00 PM,7:00 PM,Montreal Canadiens,3,Washington Capitals,6,Regulation
2024-10-31,5:00 PM,7:00 PM,Boston Bruins,2,Carolina Hurricanes,8,Regulation
2024-10-31,6:00 PM,8:00 PM,Edmonton Oilers,5,Nashville Predators,1,Regulation
2024-10-31,8:30 PM,10:30 PM,Chicago Blackhawks,2,San Jose Sharks,3,Regulation
2024-11-01,12:00 PM,2:00 PM,Florida Panthers,6,Dallas Stars,4,Regulation
